Figure,Caption,Reproducibility
Supplementary Figure 53,Supplementary Figure 53. Archaea order-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 54,Supplementary Figure 54. Archaea order-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 55,Supplementary Figure 55. Bacteria family-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 56,Supplementary Figure 56. Bacteria family-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 57,Supplementary Figure 57. Archaea family-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 58,Supplementary Figure 58. Archaea family-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 59,Supplementary Figure 59. Bacteria genus-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 60,Supplementary Figure 60. Bacteria genus-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 61,Supplementary Figure 61. Archaea genus-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 62,Supplementary Figure 62. Archaea genus-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 63,Supplementary Figure 63. Bacteria species-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Bacteria. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 64,Supplementary Figure 64. Bacteria species-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Bacteria.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 65,Supplementary Figure 65. Archaea species-level relative-abundance profiles by individual sediment metagenome sample. Each bar was normalized to 100%; the most abundant taxa are displayed individually and the remaining identified categories are grouped as Others. Taxonomic filtering used Domain = Archaea. Colours were loaded from data/taxonomy_palette.json.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 66,Supplementary Figure 66. Archaea species-level relative-abundance heatmap by individual sediment metagenome sample. Cells display log10(relative abundance [%] + 1) using a reversed coolwarm red-to-blue gradient; exact untransformed relative-abundance values are retained in the source table. Taxonomic filtering used Domain = Archaea.,Script: scripts/generate_taxonomy_supplementary_figures.py. Inputs: data/resultado.cds.otu.tab and data/resultado.cds.tax.tab. Command: python scripts/build_taxonomy_palette.py && python scripts/generate_taxonomy_supplementary_figures.py.
Supplementary Figure 67,"Supplementary Figure 67. Combined three-state KEGG/KEMET module-completeness heatmap for the Amazonian lagoon metagenomes and external iron-rich metagenomes. Green denotes complete modules, blue denotes one block missing, and red denotes incomplete modules or modules with two or more blocks missing. Every module row is retained; labels are positioned immediately beside their corresponding cells.",Script: scripts/generate_kegg_module_completeness_heatmaps_green_blue_red.py. Input: data/final_kegg_st8_update/Combined_lagoon_plus_external_iron_rich_module_completeness_STATUS_3state.csv.
