Figure number and title,Panel,Version,Script name,Script path,Working directory,Purpose,Exact command,Input files,Input tables,Intermediate data,Parameters and filters,Random seed,Dependencies,Output files,Output directory,Relation to other scripts,Relation to application,Execution order,Execution status
Supplementary Figure 3: SupplementaryFigure3_NMDS_CDS_taxonomy,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure3_NMDS_CDS_taxonomy from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure3_NMDS_CDS_taxonomy.png; outputs/final_publication_figures/SupplementaryFigure3_NMDS_CDS_taxonomy.pdf; outputs/final_publication_figures/SupplementaryFigure3_NMDS_CDS_taxonomy.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 4: SupplementaryFigure4_alpha_diversity_CDS_32999,Complete figure,Original/final,06_recalculate_rarefaction_alpha_32999.py,scripts/final_publication_figures/06_recalculate_rarefaction_alpha_32999.py,CangaMetaG_App_Final/,Generate SupplementaryFigure4_alpha_diversity_CDS_32999 from the documented packaged study inputs.,CANGAMETA_ONLY_S4=1 python scripts/final_publication_figures/06_recalculate_rarefaction_alpha_32999.py,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure4_alpha_diversity_CDS_32999.png; outputs/final_publication_figures/SupplementaryFigure4_alpha_diversity_CDS_32999.pdf; outputs/final_publication_figures/SupplementaryFigure4_alpha_diversity_CDS_32999.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 4,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 5: SupplementaryFigure5_MAG_bubble_original,Complete figure,Original/final,generate_figures4_5_s17_revision3.py,scripts/figures/generate_figures4_5_s17_revision3.py,CangaMetaG_App_Final/,Generate SupplementaryFigure5_MAG_bubble_original from the documented packaged study inputs.,python scripts/figures/generate_figures4_5_s17_revision3.py --base-dir . --article-root ../CangaMetaG_Article_Final,Not applicable,data/resultado.cds.otu.tab; data/resultado.cds.tax.tab; data/fiqui2.xlsx,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure5_MAG_bubble_original.png; outputs/final_publication_figures/SupplementaryFigure5_MAG_bubble_original.pdf; outputs/final_publication_figures/SupplementaryFigure5_MAG_bubble_original.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 4; Figure 5; Supplementary Figure 5; Supplementary Figure 17,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 6: Bidirectional descriptive contrasts for biogeochemical KO biomarkers,P001,Original/final,generate_s6_s7.py,scripts/figures/generate_s6_s7.py,CangaMetaG_App_Final/,Display the original bidirectional KO contrasts with complete metabolic-pathway names.,python scripts/figures/generate_s6_s7.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 6,Not applicable,data/final_publication_derived/SupplementaryFigure6_bidirectional_all_KO_figure_source.csv,data/final_publication_derived/SupplementaryFigure6_bidirectional_all_KO_figure_source.csv,Top 25 per original contrast direction; 300 dpi; controlled text wrapping. | Top 25 absolute descriptive log2 contrasts per original panel; original order after value sorting; full labels reconstructed only when legacy display_label contained a Unicode ellipsis.,Not applicable,Recorded in validation/module_figures_filtered_v9_execution.json and validation/FINAL_CORRECTION_AND_SCOPE_AUDIT.md,outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P01.png; outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P01.pdf; outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P01.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 6; Supplementary Figure 7,outputs/app_supplementary_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional.png,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 6: Bidirectional descriptive contrasts for biogeochemical KO biomarkers,P002,Original/final,generate_s6_s7.py,scripts/figures/generate_s6_s7.py,CangaMetaG_App_Final/,Display the original bidirectional KO contrasts with complete metabolic-pathway names.,python scripts/figures/generate_s6_s7.py --base-dir . --article-root ../CangaMetaG_Article_Final --only 6,Not applicable,data/final_publication_derived/SupplementaryFigure6_bidirectional_all_KO_figure_source.csv,data/final_publication_derived/SupplementaryFigure6_bidirectional_all_KO_figure_source.csv,Top 25 per original contrast direction; 300 dpi; controlled text wrapping. | Top 25 absolute descriptive log2 contrasts per original panel; original order after value sorting; full labels reconstructed only when legacy display_label contained a Unicode ellipsis.,Not applicable,Recorded in validation/module_figures_filtered_v9_execution.json and validation/FINAL_CORRECTION_AND_SCOPE_AUDIT.md,outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P02.png; outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P02.pdf; outputs/final_publication_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional_P02.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 6; Supplementary Figure 7,outputs/app_supplementary_figures/SupplementaryFigure6_ST8_selected_sediments_all_KO_zscore_proportional.png,2,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 7: SupplementaryFigure7_ST8_iron_selected_zscore_proportional,P001,Original/final,generate_s6_s7.py,scripts/figures/generate_s6_s7.py,CangaMetaG_App_Final/,Generate SupplementaryFigure7_ST8_iron_selected_zscore_proportional from the documented packaged study inputs.,python scripts/figures/generate_s6_s7.py --base-dir .,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.png; outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.pdf; outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P01.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Supplementary Figure 6; Supplementary Figure 7,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 7: SupplementaryFigure7_ST8_iron_selected_zscore_proportional,P002,Original/final,generate_s6_s7.py,scripts/figures/generate_s6_s7.py,CangaMetaG_App_Final/,Generate SupplementaryFigure7_ST8_iron_selected_zscore_proportional from the documented packaged study inputs.,python scripts/figures/generate_s6_s7.py --base-dir .,Not applicable,data/publication_sources/Supplementary_Table_4.xlsx; data/st8_metadata_curated.csv,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P02.png; outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P02.pdf; outputs/final_publication_figures/SupplementaryFigure7_ST8_iron_selected_zscore_proportional_P02.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 2 within this figure. The script also generates: Supplementary Figure 6; Supplementary Figure 7,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,2,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 8: SupplementaryFigure8_most_abundant_all_KO_vivid,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure8_most_abundant_all_KO_vivid from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure8_most_abundant_all_KO_vivid.png; outputs/final_publication_figures/SupplementaryFigure8_most_abundant_all_KO_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure8_most_abundant_all_KO_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 9: SupplementaryFigure9_KO_category_boxplot_vivid,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure9_KO_category_boxplot_vivid from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure9_KO_category_boxplot_vivid.png; outputs/final_publication_figures/SupplementaryFigure9_KO_category_boxplot_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure9_KO_category_boxplot_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 10: SupplementaryFigure10_iron_category_boxplot_vivid,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure10_iron_category_boxplot_vivid from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure10_iron_category_boxplot_vivid.png; outputs/final_publication_figures/SupplementaryFigure10_iron_category_boxplot_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure10_iron_category_boxplot_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
Supplementary Figure 11: SupplementaryFigure11_most_abundant_iron_markers_vivid,Complete figure,Original/final,consolidate_final_publication.py,scripts/consolidate_final_publication.py,CangaMetaG_App_Final/,Generate SupplementaryFigure11_most_abundant_iron_markers_vivid from the documented packaged study inputs.,python scripts/consolidate_final_publication.py --base-dir .,Not applicable,Not applicable,Documented script-derived files in data/final_publication_derived/ or outputs/final_publication_audit_tables/.,Defined explicitly in the script; no undocumented manual image edits.,Not applicable or defined in the script where stochastic procedures are used.,Python and libraries imported by the script; see environment/reproducibility_environment.yml.,outputs/final_publication_figures/SupplementaryFigure11_most_abundant_iron_markers_vivid.png; outputs/final_publication_figures/SupplementaryFigure11_most_abundant_iron_markers_vivid.pdf; outputs/final_publication_figures/SupplementaryFigure11_most_abundant_iron_markers_vivid.svg,outputs/final_publication_figures/; outputs/app_supplementary_figures/; article 03_Supplementary_Figures/,Execution order 1 within this figure. The script also generates: Figure 6; Supplementary Figure 1; Supplementary Figure 2; Supplementary Figure 3; Supplementary Figure 8; Supplementary Figure 9; Supplementary Figure 10; Supplementary Figure 11; Supplementary Figure 12; Supplementary Figure 13; Supplementary Figure 14; Supplementary Figure 15; Supplementary Figure 16,Static output displayed/downloaded by app.py from outputs/app_supplementary_figures/.,1,PASS — canonical script compiles; packaged final output and explicit inputs validated; non-target figure bytes preserved.
